11,Beijing,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Tiananmen_Gate.jpg/500px-Tiananmen_Gate.jpg,,,,,,,,,"INSERT INTO table_name VALUES('12','Cairo','http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Cairo-Nile-2020%281%29.jpg/500px-Cairo-Nile-2020%281%29.jpg');"
12,Cairo,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Cairo-Nile-2020%281%29.jpg/500px-Cairo-Nile-2020%281%29.jpg,,,,,,,,,"INSERT INTO table_name VALUES('13','Moscow','http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Business_Centre_of_Moscow_2.jpg/500px-Business_Centre_of_Moscow_2.jpg');"
13,Moscow,http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Business_Centre_of_Moscow_2.jpg/500px-Business_Centre_of_Moscow_2.jpg,,,,,,,,,"INSERT INTO table_name VALUES('14','Bangkok','http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Bangkok_Montage_2021.jpg/375px-Bangkok_Montage_2021.jpg');"
14,Bangkok,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Bangkok_Montage_2021.jpg/375px-Bangkok_Montage_2021.jpg,,,,,,,,,"INSERT INTO table_name VALUES('15','Buenos Aires','http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Port_skyline_%26_Women%27s_Bridge.jpg/500px-Port_skyline_%26_Women%27s_Bridge.jpg');"
15,Buenos Aires,http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Port_skyline_%26_Women%27s_Bridge.jpg/500px-Port_skyline_%26_Women%27s_Bridge.jpg,,,,,,,,,"INSERT INTO table_name VALUES('16','Shenzhen','http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Commercial_area_of_futian_to_east2020.jpg/500px-Commercial_area_of_futian_to_east2020.jpg');"
16,Shenzhen,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Commercial_area_of_futian_to_east2020.jpg/500px-Commercial_area_of_futian_to_east2020.jpg,,,,,,,,,"INSERT INTO table_name VALUES('17','Dhaka','http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dhaka_14th_March_%2832624769393%29.jpg/500px-Dhaka_14th_March_%2832624769393%29.jpg');"
17,Dhaka,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dhaka_14th_March_%2832624769393%29.jpg/500px-Dhaka_14th_March_%2832624769393%29.jpg,,,,,,,,,"INSERT INTO table_name VALUES('18','Lagos','http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2014_Tinubu_Square_Lagos_Nigeria_14640600637.jpg/500px-2014_Tinubu_Square_Lagos_Nigeria_14640600637.jpg');"
18,Lagos,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2014_Tinubu_Square_Lagos_Nigeria_14640600637.jpg/500px-2014_Tinubu_Square_Lagos_Nigeria_14640600637.jpg,,,,,,,,,"INSERT INTO table_name VALUES('19','Istanbul','http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bosphorus_Bridge_%28235499411%29.jpeg/500px-Bosphorus_Bridge_%28235499411%29.jpeg');"
19,Istanbul,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bosphorus_Bridge_%28235499411%29.jpeg/500px-Bosphorus_Bridge_%28235499411%29.jpeg,,,,,,,,,"INSERT INTO table_name VALUES('20','Karachi','http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Jinnah_Mausoleum_%28cropped%29.JPG/500px-Jinnah_Mausoleum_%28cropped%29.JPG');"
20,Karachi,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Jinnah_Mausoleum_%28cropped%29.JPG/500px-Jinnah_Mausoleum_%28cropped%29.JPG,,,,,,,,,"INSERT INTO table_name VALUES('21','Bangalore','http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/UB_City_at_night_.jpg/500px-UB_City_at_night_.jpg');"
